UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Digital,OverDrive,EBOOK,2016,10,12,"The Way of Kings: The Stormlight Archive Series, Book 1",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Publishers,2013
Digital,OverDrive,AUDIOBOOK,2016,10,11,"Words of Radiance: Stormlight Archive Series, Book 2 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2014
Digital,OverDrive,AUDIOBOOK,2016,11,14,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2016,11,10,"Words of Radiance: Stormlight Archive Series, Book 2 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2014
Digital,OverDrive,EBOOK,2016,11,11,"The Way of Kings: The Stormlight Archive Series, Book 1",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Publishers,2013
Digital,OverDrive,EBOOK,2016,11,8,"Words of Radiance: The Stormlight Archive Series, Book 2",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Publishers,2015
Digital,OverDrive,EBOOK,2016,12,16,"The Way of Kings: The Stormlight Archive Series, Book 1",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Publishers,2013
Digital,OverDrive,AUDIOBOOK,2016,12,11,"Words of Radiance: Stormlight Archive Series, Book 2 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2014
Digital,OverDrive,EBOOK,2016,12,7,"Words of Radiance: The Stormlight Archive Series, Book 2",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Publishers,2015
Digital,OverDrive,AUDIOBOOK,2016,12,11,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,EBOOK,2017,1,11,"The Way of Kings: The Stormlight Archive Series, Book 1",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Publishers,2013
Digital,OverDrive,EBOOK,2017,1,8,"Words of Radiance: The Stormlight Archive Series, Book 2",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Publishers,2015
Digital,OverDrive,AUDIOBOOK,2017,1,14,"Words of Radiance: Stormlight Archive Series, Book 2 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2014
Digital,OverDrive,AUDIOBOOK,2017,1,16,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2010,9,1,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2010,10,4,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2010,11,4,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2010,12,4,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2011,1,3,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2011,2,3,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2011,3,1,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2011,4,3,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2011,5,2,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2011,6,1,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2011,8,3,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2011,9,4,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2011,10,2,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2011,11,1,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2011,12,2,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2012,1,3,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2012,2,2,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2012,3,3,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2012,4,2,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2012,5,4,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2012,6,1,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2012,7,3,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2012,8,2,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2012,9,2,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2012,10,3,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2012,11,2,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2012,12,2,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2013,1,2,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2013,2,2,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2013,3,1,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2013,4,3,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2013,5,3,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2013,6,5,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
Digital,OverDrive,AUDIOBOOK,2013,7,6,"The Way of Kings: Stormlight Archive Series, Book 1 (unabridged) (Unabridged)",,Brandon Sanderson,"Fantasy, Fiction",Macmillan Audio,2010
